date,category,sub-category,description,amount
2021-08-31,Living Expense,Groceries,Grocery Store,122.26
2021-08-30,Discretionary Spending,Work Lunch & Takeout,Bistro,11.0
2021-08-30,Discretionary Spending,Work Lunch & Takeout,GrubHub-Ginos Pizzeria,53.08
2021-08-30,Living Expense,Transportation,METROCARD,128.0
2021-08-30,Discretionary Spending,Work Lunch & Takeout,FOOD CAVE.   ,8.49
2021-08-29,Living Expense,Transportation,METROCARD,40.0
2021-08-28,Discretionary Spending,Subscriptions,Spotify,17.01
2021-08-27,Discretionary Spending,Work Lunch & Takeout,VIA CARAMICO  ,10.0
2021-08-27,Discretionary Spending,Work Lunch & Takeout,Five Guys,7.66
2021-08-27,Savings,Investment - Source 1,XYZ Financial Firm,500.0
2021-08-26,Discretionary Spending,Liquor Store,Wine & Spirits,10.86
2021-08-25,Discretionary Spending,Subscriptions,MEDIUM MONTHLY,5.0
2021-08-25,Occasional Expense,Vacation,Airbnb,374.31
2021-08-25,Discretionary Spending,Restaurants,Noodle Craft,54.25
2021-08-25,Discretionary Spending,Subscriptions,MEDIUM MONTHLY,5.0
2021-08-24,Discretionary Spending,Liquor Store,Wine & Spirits,45.66
2021-08-21,Discretionary Spending,Personal Care,Tattoo,120.0
2021-08-21,Living Expense,Medical & Health,Duane Reade,25.98
2021-08-21,Discretionary Spending,Work Lunch & Takeout,Dunkin Donuts,8.13
2021-08-20,Discretionary Spending,Restaurants,BREAK BAR AND BILLARDS  ,30.0
2021-08-20,Discretionary Spending,Shopping,Amazon,37.01
2021-08-20,Discretionary Spending,Clothing,Abercrombie & Fitch,87.44
2021-08-20,Monthly Bills,Internet,Verizon,39.99
2021-08-19,Discretionary Spending,Restaurants,Lucky Cat Izakaya,64.53
2021-08-19,Occasional Expense,Vacation,Expedia,225.39
2021-08-19,Occasional Expense,Vacation,Expedia,225.39
2021-08-19,Discretionary Spending,Shopping,Amazon,20.64
2021-08-18,Monthly Bills,Utilities,ConEd,119.35
2021-08-17,Discretionary Spending,Work Lunch & Takeout,Café,7.2
2021-08-16,Discretionary Spending,Restaurants,KINI LIC ,31.2
2021-08-16,Discretionary Spending,Work Lunch & Takeout,Bistro,2.99
2021-08-16,Living Expense,Groceries,Grocery Store,136.27
