Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
8/31/2021,Grocery Store,,122.26,debit,Groceries,,,
8/31/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
8/31/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
8/30/2021,Bistro,,11,debit,Work Lunch & Takeout,,,
8/30/2021,GrubHub-Ginos Pizzeria,,53.08,debit,Work Lunch & Takeout,,,
8/30/2021,METROCARD,,128,debit,Transportation,,,
8/30/2021,FOOD CAVE.   ,,8.49,debit,Work Lunch & Takeout,,,
8/29/2021,METROCARD,,40,debit,Transportation,,,
8/28/2021,Spotify,,17.01,debit,Subscriptions,,,
8/27/2021,VIA CARAMICO  ,,10,debit,Work Lunch & Takeout,,,
8/27/2021,Five Guys,,7.66,debit,Work Lunch & Takeout,,,
8/27/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
8/27/2021,XYZ Financial Firm,,500,debit,Investment - Source 1,,,
8/27/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
8/27/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
8/27/2021,Company - 2,,1500,credit,Paycheck - Source 2,,,
8/27/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
8/27/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
8/26/2021,Wine & Spirits,,10.86,debit,Liquor Store,,,
8/26/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
8/26/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
8/25/2021,MEDIUM MONTHLY,,5,debit,Subscriptions,,,
8/25/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
8/25/2021,Airbnb,,374.31,debit,Vacation,,,
8/25/2021,Noodle Craft,,54.25,debit,Restaurants,,,
8/25/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
8/25/2021,MEDIUM MONTHLY,,5,debit,Subscriptions,,,
8/24/2021,Wine & Spirits,,45.66,debit,Liquor Store,,,
